name,,Coder,Artist,Livery Artist
CR200J1,,JF*Recoded by Babel,Babel,prototype:EMB
CRH2C,,JF*Recoded by Babel,Babel,
CR200J-B,,JF*Recoded by Babel,Babel,
CRH3A,,JF*Recoded by Babel,Qipaoxian,
CRH3A-A,,Qipaoxian,Qipaoxian,
NDJ3,,JF,"Qipaoxian, Babel",
DJJ1,,JF,"NACHN, Babel",
DJF2,,Qipaoxian,Qipaoxian,Qipaoxian
CRH380B,,JF,Qipaoxian,
CRH3C,,JF,Qipaoxian,
CRH2G,,JF*Recoded by Babel,"Qipaoxian,Babel",
CRH380CL,,JF,Qipaoxian,
CRH6A Series,,JF*Recoded by Babel,"Qipaoxian,,Nengyeqing",All:Nengyeqing
CRH6A-A,,JF,"Qipaoxian,,Nengyeqing",All:Nengyeqing
CRH6F,,JF,"Qipaoxian,,Nengyeqing","Nengyeqing, Qipaoxian"
CRH6FA,,Qipaoxian,"Qipaoxian,Nengyeqing",All:Nengyeqing
CJ6,,Qipaoxian,"Qipaoxian,Ahyangyi",
CINOVA2.0,,Qipaoxian,Qipaoxian,
CRH380A,,Babel,"Qipaoxian,Babel",
CR200J-C,,Babel,Babel,
NZJ1-XSG,,JF,wuwu,
CRH380D,,Babel,"Qipaoxian,Babel",
CRH2A/B,,Babel,Babel,
CRH2E,,Babel,Babel,
CRH2ELS,,Babel,"Haiyan,Qipaoxian",
CR400AF/AF-A/AF-B,,Babel,Qipaoxian,
CR400AF-C/Z/S/AZ/BZ/BS,,Babel,"Qipaoxian,Nengyeqing",
CR300AF,,Babel,"Qipaoxian,Nengyeqing",
CR300BF,,Babel,"Qipaoxian,Babel",
NC3,,Babel,EMB,
CRH1A/B,,JF*Recoded by Babel,"Qipaoxian,Babel",
CRH1E,,JF,Qipaoxian,
CRH1AA,,Babel,"Qipaoxian,Babel",
CR400BF/BF-A/BF-B,,Babel,"Qipaoxian,Babel",
CR400BF-Z/S/AZ/BZ/BS,,Babel,"Qipaoxian,Nengyeqing",
CR400BF-C,,Babel,"Qipaoxian,Babel",
CR400BF-0031/0051,,Qipaoxian,Qipaoxian,Qipaoxian
DJF3,,Babel,Qipaoxian,
DJJ2,,Babel,Qipaoxian,
NYJ1,,Qipaoxian,Qipaoxian,
CR400AFAE,,Babel,"Qipaoxian,Haiyan",
CRH5A,,JF*Recoded by Babel,"Qipaoxian,Babel",
CRH5GJT,,,Qipaoxian,
CRH5E,,Babel,Qipaoxian,
CR200JSG,,"GUANGMING,Babel","GUANGMING,EMB,Babel",
CRH380AJ,,"GUANGMING,Babel","Qipaoxian,Haiyan",
CRH380AL_2541,,GUANGMING,"Qipaoxian,Babel",
CRH380AM,,Qipaoxian,Qipaoxian,
DJF1,,Babel,Qipaoxian,
CRH2A4020,,Babel,Babel,
JF1,jf1,JF,EMB,
Mikai,,Babel,EMB,
SL6,sl6,JF,EMB,
SL7,,EMB,EMB
Pasguku,,,,
JF6,jf6,,,
QJ,qj,Babel,EMB,
RM,rm,,,
SY,sy,John Franklin,JF,
KD7,,Babel,EMB
DF4K,df4k,JF,Mikhail,
DF4H,df4h,JF,Mikhail,
DF4D-0000,df4d0000,JF,Babel,
DF4D-3000,df4d3000,JF,Babel,
DF4D-4000,df4d4000,JF,Babel,
DF5-KZ,df5kz,wuwu,DF43110,
DF5,df5,JF,Babel,
ND5,nd5,wuwu,wuwu,
DF11,df11,JF,NACHN,
DF12,df12,,,
NJ2,nj2,JF,NACHN,
HXN5,hxn5,JF,NACHN,
DF11G,df11g,JF,EMB,
DF4BK,df4bk,wuwu,Mikhail,Orange: Babel Other: DF43111
DF4BH,df4bh,wuwu,Mikhail,Orange: Babel Other: DF43111
DF7G,df7g,wuwu,EMB,
DF7G-5000,df7g5000,wuwu,EMB,
DF7G-8000,df7g8000,wuwu,EMB,
DFH7,dfh7,wuwu,Mikhail,
DFH7B,dfh7b,wuwu,Mikhail,
HXN5B,hxn5b,wuwu,EMB190,
SS1,ss1,JF,NACHN,
SS3,ss3,JF,NACHN,
SS4,ss4,JF,NACHN,
SS8,ss8,JF,Babel,
HXD3C,hxd3c,JF,NACHN,
HXD1D,hxd1d,Babel,EMB,1898: GBL
HXD3D,hxd3d,JF,NACHN,"1893,1921,1886:GBL"
HXD1B,,JF,"Babel,wuwu",
HXD1,hxd1,JF,"DF43110,Babel",
SS4G,ss4g,wuwu,wuwu,
SS5,ss5,wuwu,wuwu,
SS6,ss6,wuwu,wuwu,
SS6B,ss6b,wuwu,wuwu,
SS7,ss7,wuwu,EMB,
SS7B,ss7b,wuwu,EMB,
SS7C,ss7c,wuwu,EMB,
SS7E,ss7e,wuwu,EMB,
DF4DF,df4df,wuwu,DF43110,
DF4C,df4c,wuwu,DF43110,
DF8B,df8b,wuwu,EMB,
DF4D-7000,df4d7000,wuwu,wuwu,
SS3B,ss3b,wuwu,wuwu,
DF,,Babel,EMB,
6Y2,,Babel,wuwu,
DF11Z,df11z,wuwu,DF43110,
HXD11000,hxd11000,wuwu,"DF43110,Babel",
HXD1F,hxd1f,wuwu,DF43110,
DF4E,df4e,wuwu,wuwu,
SS1,ss1,wuwu,mikhail,
SS7D,ss7d,wuwu,wuwu,
SS9,ss9,wuwu,wuwu,
SS9G,ss9g,wuwu,wuwu,
ND5,nd5,wuwu,DF43110,
HXN5,hxn5,wuwu,NACHN,
HXN3,hxn3,wuwu,DF43110,
HXN3QZ,,wuwu,DF43110,
HXD2,hxd2,Babel,NACHN,
HXD21000,hxd21000,Babel,NACHN,
CHA1A,,Babel,NACHN,
SS4B,,wuwu,NACHN,
SS4C,,wuwu,wuwu,
DFH3,dfh3,wuwu,EMB,
BEIJING Series,,Babel,EMB,EMB
DF2,,Babel,EMB,
DF11Plateau,,Babel,"NACHN,EMB",
DF3,,GUANGMING,EMB,
DF7D,,wuwu,"EMB, wuwu",
DF9,,wuwu,wuwu,
DFH1 Series,,Babel,EMB,
HXN3C,,Babel,"asAn0,Babel","asAn0,Babel"
8K,,Babel,EMB,
ND2,,EMB,EMB
ND4,,Babel,EMB,
NY5,,Babel,EMB,EMB
NY6,,Babel,EMB,EMB
NY7,,Babel,EMB,EMB
HXD1C,,Babel,"SL-1230,EMB",
6K,,wuwu,wuwu
DJ1,,wuwu,wuwu
HXD2D,,wuwu,wuwu
DF10,,wuwu,wuwu
GC160,,wuwu,wuwu
GC220,,wuwu,wuwu
C64,,JF,Babel,
P62,,JF,Babel,
G60,,JF,Babel,Other Colaor: Sunjuzhensun
P60,,JF,Babel,
C62,,JF,Babel,
NX17,,JF,Babel,Container: Sunjuzhensun
N60,,JF,Babel,
C70,,JF,Sunjuzhensun,
P70,,JF,Sunjuzhensun,
GN70,,JF,Babel,Other Colaor: Sunjuzhensun
JSQ5,,JF,Sunjuzhensun,
JSQ6,,JF,Sunjuzhensun,
B6,,JF,Babel,
B22,,JF,Sunjuzhensun,
L70,,JF,Sunjuzhensun,
NX70A,,JF,Sunjuzhensun,
G50,,wuwu,Sunjuzhensun,
P61,,wuwu,Sunjuzhensun,
