# STRING,ENGLISH,SIMPLIFIED CHINESE
STR_GRF_NAME,China Set: Trains {VERSION_STRING},中国包：火车 {VERSION_STRING}
STR_GRF_DESC,The Train sector of the China Set of OpenTTD.,OpenTTD中国包的火车部分。
STR_GRF_URL,https://www.tt-forums.net/viewtopic.php?t=91092,
STR_GRF_DESC_EXTRA," Locomotives, MUs, Coaches and Wagons in China Mainland. More contents in the future.",中国大陆的火车，包括机车、动车组、车厢。未来会有更多内容。
STR_GRF_DESC_README,See readme for details.,更多信息请查看Readme。
STR_LEAPING_LIU_NEVER_DIES,{BLUE}Leaping Liu Never Dies.,{BLUE}跨越不死，曙光永生
STR_PARAM_LOADING_SPEED,Loading Speed,装载速度
STR_PARAM_LOADING_SPEED_DESC,Adjust vehicle loading speed. Default is 100%.,调整车辆装载速度。默认为100%。
STR_PARAM_PURCHASE_COST,Purchase costs,购买费用
STR_PARAM_PURCHASE_COST_DESC,Adjust vehicle purchase costs. Default is 25%.,调整车辆购买费用。默认为25%。
STR_PARAM_RUNNING_COST,Running costs,运营费用
STR_PARAM_RUNNING_COST_DESC,Adjust vehicle running costs. Default is 25%.,调整车辆运营费用。默认为25%。
STR_PARAM_DIVIDE_16,6.25%,
STR_PARAM_DIVIDE_8,12.50%,
STR_PARAM_DIVIDE_4,25%,
STR_PARAM_DIVIDE_2,50%,
STR_PARAM_NORMAL,100%,
STR_PARAM_TIMES_2,200%,
STR_PARAM_TIMES_4,400%,
STR_PARAM_TIMES_8,800%,
STR_PARAM_TIMES_16,1600%,
STR_PARAM_CARGO_DECAY,Cargo Age Period,货物贬值周期
STR_PARAM_CARGO_DECAY_DESC,"Adjust cargo age period of coaches and wagons. ""Long"" is ""Standard"" doubled, while ""Very Long"" is ""Long"" doubled. Even in ""Standard"" mode, cargo age period varies.",调整车厢的货物贬值周期。“较长”为“标准”的两倍，“很长”是“较长”的两倍。即使在“标准”设置下，货物贬值周期也随车厢种类而变化。
STR_PARAM_STANDARD,Standard,标准
STR_PARAM_LONG,Long,较长
STR_PARAM_VERY_LONG,Very Long,很长
STR_PARAM_GAOZULV,"25m Passenger Coaches build after 2014 are {DKGREEN}""Gaozu Geeen""{BLACK} in defeaut",2014年后建造的25型客车默认刷{DKGREEN}绿
STR_PARAM_GAOZULV_DESC,"Choose weather to print{DKGREEN} Canarium Green (also called ""Gaozu Geeen""){BLACK} to 25m Passenger Coaches build after 2014 in defeaut",决定2014年后建造的25型客车是否默认刷{DKGREEN}绿
STR_USED_WITH_DYNAMIC_ENGINES,"This GRF needs dynamic_engines to be turned on. Open console, and type ""setting dynamic_engines 1"".","请切换至控制台模式, 键入 ""setting dynamic_engines 1"", 否则您无法游玩中国包."
# Name,,
STR_NAME_YZ22,YZ22 (Passenger Coach),YZ22 (客车)
STR_NAME_RZ22,RZ22 (Passenger Coach),RZ22 (客车)
STR_NAME_YW22,YW22 (Passenger Coach),YW22 (客车)
STR_NAME_YW22EARLY,YW22 (Passenger Coach) (Early Version),YW22 (客车) (早期型)
STR_NAME_YW221966,YW22 (Passenger Coach) (Late Version),YW22 (客车) (后期型)
STR_NAME_RW22,RW22 (Passenger Coach),RW22 (客车)
STR_NAME_YZ22AIRCON,YZ22 (Passenger Coach) (Air-conditioned),YZ22 (客车) (加装空调)
STR_NAME_RZ22AIRCON,RZ22 (Passenger Coach) (Air-conditioned),RZ22 (客车) (加装空调)
STR_NAME_YW22AIRCON,YW22 (Passenger Coach) (Air-conditioned),YW22 (客车) (加装空调)
STR_NAME_RW22AIRCON,RW22 (Passenger Coach) (Air-conditioned),RW22 (客车) (加装空调)
STR_NAME_CA23,CA23 (Passenger Coach),CA23 (餐车)
STR_NAME_CA23AIRCON,CA23 (Passenger Coach) (Air-conditioned),CA23 (餐车) (加装空调)
STR_NAME_YZ22B,YZ22B (Passenger Coach),YZ22B (客车)
STR_NAME_YW22B,YW22B (Passenger Coach),YW22B (客车)
STR_NAME_RW22B,RW22B (Passenger Coach),RW22B (客车)
STR_NAME_YZ25ML,YZ25 (Mainline) (Passenger Coach),YZ25 (干线) (客车)
STR_NAME_RZ25ML,RZ25 (Mainline) (Passenger Coach),RZ25 (干线) (客车)
STR_NAME_YW25ML,YW25 (Mainline) (Passenger Coach),YW25 (干线) (客车)
STR_NAME_RW25ML,RW25 (Mainline) (Passenger Coach),RW25 (干线) (客车)
STR_NAME_CA25ML,CA25 (Mainline) (Restaurant Car),CA25 (干线) (客车)
STR_NAME_YZ25B,YZ25B (Passenger Coach),YZ25B (客车)
STR_NAME_RZ25B,RZ25B (Passenger Coach),RZ25B (客车)
STR_NAME_YW25B,YW25B (Passenger Coach),YW25B (客车)
STR_NAME_RW25B,RW25B (Passenger Coach),RW25B (客车)
STR_NAME_SYZ25BLD,SYZ25B (Passenger Coach) (Low-Door),SYZ25B (客车) (低开门)
STR_NAME_SRZ25BLD,SRZ25B (Passenger Coach) (Low-Door),SRZ25B (客车) (低开门)
STR_NAME_SYZ25BHD,SYZ25B (Passenger Coach) (High-Door),SYZ25B (客车) (高开门)
STR_NAME_SRZ25BHD,SRZ25B (Passenger Coach) (High-Door),SRZ25B (客车) (高开门)
STR_NAME_SYW25BHD,SYW25B (Passenger Coach) (High-Door),SYW25B (客车) (高开门)
STR_NAME_SRW25BHD,SRW25B (Passenger Coach) (High-Door),SRW25B (客车) (高开门)
STR_NAME_YZ25G,YZ25G (Passenger Coach),YZ25G (客车)
STR_NAME_RZ25G,RZ25G (Passenger Coach),RZ25G (客车)
STR_NAME_YW25G,YW25G (Passenger Coach),YW25G (客车)
STR_NAME_RW25G,RW25G (Passenger Coach),RW25G (客车)
STR_NAME_CA25G,CA25G (Restaurant Car),CA25G (餐车)
STR_NAME_RW19K,RW19K (Passenger Coach),RW19K (客车)
STR_NAME_YZ25K,YZ25K (Passenger Coach),YZ25K (客车)
STR_NAME_RZ25K,RZ25K (Passenger Coach),RZ25K (客车)
STR_NAME_YW25K,YW25K (Passenger Coach),YW25K (客车)
STR_NAME_RW25K,RW25K (Passenger Coach),RW25K (客车)
STR_NAME_SYZ25KLD,SYZ25K (Passenger Coach) (Low-Door),SYZ25K (客车) (低开门)
STR_NAME_SRZ25KLD,SRZ25K (Passenger Coach) (Low-Door),SRZ25K (客车) (低开门)
STR_NAME_SYZ25KHD,SYZ25K (Passenger Coach) (High-Door),SYZ25K (客车) (高开门)
STR_NAME_SRZ25KHD,SRZ25K (Passenger Coach) (High-Door),SRZ25K (客车) (高开门)
STR_NAME_SYW25KHD,SYW25K (Passenger Coach) (High-Door),SYW25K (客车) (高开门)
STR_NAME_SRW25KHD,SRW25K (Passenger Coach) (High-Door),SRW25K (客车) (高开门)
STR_NAME_SCA25KHD,SCA25K (Restaurant Car) (High-Door),SCA25K (餐车) (高开门)
STR_NAME_CA25K,CA25K (Restaurant Car),CA25K (餐车)
STR_NAME_RW19T,RW19T (Passenger Coach),RW19T (客车)
STR_NAME_YZ25T,YZ25T (Passenger Coach),YZ25T (客车)
STR_NAME_RZ25T,RZ25T (Passenger Coach),RZ25T (客车)
STR_NAME_YW25T,YW25T (Passenger Coach),YW25T (客车)
STR_NAME_RW25T,RW25T (Passenger Coach),RW25T (客车)
STR_NAME_CA25T,CA25T (Restaurant Car),CA25T (餐车)
STR_NAME_YZ31,YZ31 (Passenger Coach),YZ31 (客车)
STR_NAME_XL22,XL22 (Luggage Car),XL22 (行李车)
STR_NAME_XL25ML,XL25 (Mainline) (Luggage Car),XL25 (干线) (行李车)
STR_NAME_XL25B,XL25B (Luggage Car),XL25B (行李车)
STR_NAME_XL25G,XL25G (Luggage Car),XL25G (行李车)
STR_NAME_XL25K,XL25K (Luggage Car),XL25K (行李车)
STR_NAME_XL25T,XL25T (Luggage Car),XL25T (行李车)
STR_NAME_XL25T_SSPE,XL25T-SSPE (Luggage Car),XL25T-SSPE (行李车)
STR_NAME_UZ22,UZ22 (Railway Post Office),UZ22 (邮车)
STR_NAME_UZ25T,UZ25T (Railway Post Office),UZ25T (邮车)
STR_NAME_TZ,TZ (Air Conditioner Generator Car),TZ (空调发电车)
STR_NAME_TZ2,TZ2 (Air Conditioner Generator Car),TZ2 (空调发电车)
STR_NAME_KD25G,KD25G (Air Conditioner Generator Car),KD25G (空调发电车)
STR_NAME_KD25K,KD25K (Air Conditioner Generator Car),KD25K (空调发电车)
STR_NAME_KD25Z,KD25Z (Air Conditioner Generator Car),KD25Z (空调发电车)
STR_NAME_KD25T,KD25T (Air Conditioner Generator Car),KD25T (空调发电车)
STR_NAME_RZ125Z,RZ125Z (Passenger Coach),RZ125Z (客车)
STR_NAME_RZ225Z,RZ225Z (Passenger Coach),RZ225Z (客车)
STR_NAME_RZT25Z,RZT25Z (Passenger Coach),RZT25Z (客车)
STR_NAME_CA25Z,CA25Z (Restaurant Car),CA25Z (餐车)
STR_NAME_RZXL25Z,RZXL25Z (Luggage Car),RZXL25Z (行李车)
STR_NAME_SRZ125Z,SRZ125Z (Passenger Coach),SRZ125Z (客车)
STR_NAME_SRZ225Z,SRZ225Z (Passenger Coach),SRZ225Z (客车)
STR_NAME_SCA25Z,SCA25Z (Restaurant Car),SCA25Z (餐车)
STR_NAME_SRZXL25Z,SRZXL25Z (Luggage Car),SRZXL25Z (行李车)
STR_NAME_SYW25,SYW25 (Passenger Coach),SYW25 (客车)
STR_NAME_SRW25,SRW25 (Passenger Coach),SRW25 (客车)
STR_NAME_YZ25DT_JINLUN,YZ25DT (JINLUN DMU) (Passenger Coach),YZ25DT (金轮号动车组) (客车)
STR_NAME_YW25DT_JINLUN,YW25DT (JINLUN DMU) (Passenger Coach),YW25DT (金轮号动车组) (客车)
