# STRING,ENGLISH,SIMPLIFIED CHINESE
STR_GRF_NAME,China Set: Trains {VERSION_STRING},中国包：火车 {VERSION_STRING}
STR_GRF_DESC,The Train sector of the China Set of OpenTTD.,OpenTTD中国包的火车部分。
STR_GRF_URL,https://www.tt-forums.net/viewtopic.php?t=91092,
STR_GRF_DESC_EXTRA,"Locomotives, MUs, Coaches and Wagons in China Mainland. More contents in the future.",中国大陆的火车，包括机车、动车组、车厢。未来会有更多内容。{RED}在游戏中更新NewGRF时请注意最低兼容版本！请不要强行更新！
STR_GRF_DESC_README,See readme for details.,更多信息请查看Readme。
STR_GRF_DESC_4,{BLUE}The people's railway for the people,{BLUE}人民铁路为人民
STR_PARAM_LOADING_SPEED,Loading speed,装载速度
STR_PARAM_LOADING_SPEED_DESC,Adjust vehicle loading speed. Default is 100%.,调整车辆装载速度。默认为100%。
STR_PARAM_PURCHASE_COST,Purchase costs,购买费用
STR_PARAM_PURCHASE_COST_DESC,Adjust vehicle purchase costs. Default is 25%.,调整车辆购买费用。默认为25%。
STR_PARAM_RUNNING_COST,Running costs,运营费用
STR_PARAM_RUNNING_COST_DESC,Adjust vehicle running costs. Default is 25%.,调整车辆运营费用。默认为25%。
STR_PARAM_DIVIDE_16,6.25%,
STR_PARAM_DIVIDE_8,12.50%,
STR_PARAM_DIVIDE_4,25%,
STR_PARAM_DIVIDE_2,50%,
STR_PARAM_NORMAL,100%,
STR_PARAM_TIMES_2,200%,
STR_PARAM_TIMES_4,400%,
STR_PARAM_TIMES_8,800%,
STR_PARAM_TIMES_16,1600%,
STR_PARAM_CARGO_DECAY,Cargo age period,货物贬值周期
STR_PARAM_CARGO_DECAY_DESC,"Adjust cargo age period (the ability of keeping freshness of cargo and comfort for passengers) of coaches and wagons. Default is 100%. Cargo age period varies, so that a passenger would usually pay more for their long journey in a soft sleeper coach than in a hard seat coach.",调整车厢的货物贬值周期（旅客舒适度/货物保鲜度）。默认为100%。货物贬值周期随车厢种类而有不同；长途乘客使用软卧时一般会较使用硬座时付更多的钱。
STR_PARAM_GAOZULV,"Type 25 Passenger Coaches built after 2014 are {DKGREEN}""Gaozu Green""{BLACK} by default",2014年后建造的25型客车默认刷{DKGREEN}绿
STR_PARAM_GAOZULV_DESC,"Choose whether to print{DKGREEN} Canarium Green (also called ""Gaozu Green""){BLACK} to Type 25 Passenger Coaches built after 2014 by default",决定2014年后建造的25型客车是否默认刷{DKGREEN}绿
STR_PARAM_WAGON_CARGO_DECAY,Cargo age period of mail and freight wagons,单独设置货车的货物贬值周期
STR_PARAM_WAGON_CARGO_DECAY_DESC,"Set cargo age period of mail and freight wagons individually, multiplied by ""Cargo Age Period"" again. It makes very-long-distance transport of freight possible.","单独设置邮件车和货车的货物贬值周期，在选项""货物贬值周期""上叠加计算。这个选项使超长途货物运输成为可能"
STR_USED_WITH_DYNAMIC_ENGINES,"This GRF needs dynamic_engines to be turned on. Open console, and type ""set dynamic_engines 1"".","请切换至控制台模式，键入 ""set dynamic_engines 1""， 否则您无法游玩中国包。"
# Name,,
STR_NAME_HA1,Ha 1 (Passenger Coach),ハ1 (客车)
STR_NAME_YZ1,YZ1 (Passenger Coach),YZ1 (客车)
STR_NAME_YW18_4,YW18 (Gen4) (Passenger Coach),YW18 (第四代) (客车)
STR_NAME_RW18_4,RW18 (Gen4) (Passenger Coach),RW18 (第四代) (客车)
STR_NAME_CA18_4,CA18 (Gen4) (Restaurant Car),CA18 (第四代) (餐车)
STR_NAME_RW19_4,RW19 (Gen4) (Passenger Coach),RW19 (第四代) (客车)
STR_NAME_YW18GEN5,YW18 (Gen5) (Passenger Coach),YW18 (第五代) (客车)
STR_NAME_RW19GEN5,RW19 (Gen5) (Passenger Coach),RW19 (第五代) (客车)
STR_NAME_KD18GEN5,KD18 (Gen5) (Air Conditioner Generator Car),KD18 (第五代) (空调发电车)
STR_NAME_YZ21,YZ21 (Passenger Coach),YZ21 (客车)
STR_NAME_YZ21_EARLY,YZ21 (Passenger Coach) (Early Version),YZ21 (客车) (早期型)
STR_NAME_YZ21_IMPROVED,YZ21 (Passenger Coach) (Improved Version),YZ21 (客车) (改进型)
STR_NAME_YW21,YZ21 (Passenger Coach),YW21 (客车)
STR_NAME_RW21,YZ21 (Passenger Coach),RW21 (客车)
STR_NAME_CA21,YZ21 (Restaurant Car),CA21 (餐车)
STR_NAME_YZ22,YZ22 (Passenger Coach),YZ22 (客车)
STR_NAME_RZ22,RZ22 (Passenger Coach),RZ22 (客车)
STR_NAME_YW22,YW22 (Passenger Coach),YW22 (客车)
STR_NAME_YW22EARLY,YW22 (Passenger Coach) (Early Version),YW22 (客车) (早期型)
STR_NAME_YW221966,YW22 (Passenger Coach) (Late Version),YW22 (客车) (后期型)
STR_NAME_RW22,RW22 (Passenger Coach),RW22 (客车)
STR_NAME_YZ22AIRCON,YZ22 (Passenger Coach) (Air-conditioned),YZ22 (客车) (加装空调)
STR_NAME_RZ22AIRCON,RZ22 (Passenger Coach) (Air-conditioned),RZ22 (客车) (加装空调)
STR_NAME_YW22AIRCON,YW22 (Passenger Coach) (Air-conditioned),YW22 (客车) (加装空调)
STR_NAME_RW22AIRCON,RW22 (Passenger Coach) (Air-conditioned),RW22 (客车) (加装空调)
STR_NAME_CA23,CA23 (Restaurant Car),CA23 (餐车)
STR_NAME_CA23AIRCON,CA23 (Restaurant Car) (Air-conditioned),CA23 (餐车) (加装空调)
STR_NAME_YZ22B,YZ22B (Passenger Coach),YZ22B (客车)
STR_NAME_YW22B,YW22B (Passenger Coach),YW22B (客车)
STR_NAME_RW22B,RW22B (Passenger Coach),RW22B (客车)
STR_NAME_YZ25ML,YZ25 (Mainline) (Passenger Coach),YZ25 (干线) (客车)
STR_NAME_RZ25ML,RZ25 (Mainline) (Passenger Coach),RZ25 (干线) (客车)
STR_NAME_YW25ML,YW25 (Mainline) (Passenger Coach),YW25 (干线) (客车)
STR_NAME_RW25ML,RW25 (Mainline) (Passenger Coach),RW25 (干线) (客车)
STR_NAME_CA25ML,CA25 (Mainline) (Restaurant Car),CA25 (干线) (餐车)
STR_NAME_YZ25SM,YZ25 (Sanshui-Maoming Railway) (Passenger Coach),YZ25 (三茂铁路) (客车)
STR_NAME_RZ25SM,RZ25 (Sanshui-Maoming Railway) (Passenger Coach),RZ25 (三茂铁路) (客车)
STR_NAME_YW25SM,YW25 (Sanshui-Maoming Railway) (Passenger Coach),YW25 (三茂铁路) (客车)
STR_NAME_RW25SM,RW25 (Sanshui-Maoming Railway) (Passenger Coach),RW25 (三茂铁路) (客车)
STR_NAME_CA25SM,CA25 (Sanshui-Maoming Railway) (Restaurant Car),CA25 (三茂铁路) (餐车)
STR_NAME_RZ25HK,RZ25 (Guangzhou-Kowloon Railway) (Passenger Coach),RZ25 (广九铁路) (客车)
STR_NAME_CA25HK,RZ25 (Guangzhou-Kowloon Railway) (Restaurant Car),CA25 (广九铁路) (餐车)
STR_NAME_TZ25,TZ25 (Air Conditioner Generator Car),TZ25 (空调发电车)
STR_NAME_SYZ25,SYZ25 (Passenger Coach),SYZ25 (客车)
STR_NAME_SRZ25,SRZ25 (Passenger Coach),SRZ25 (客车)
STR_NAME_SYW25,SYW25 (Passenger Coach),SYW25 (客车)
STR_NAME_SRW25,SRW25 (Passenger Coach),SRW25 (客车)
STR_NAME_YZ25A,YZ25A (Passenger Coach),YZ25A (客车)
STR_NAME_YW25A,YW25A (Passenger Coach),YW25A (客车)
STR_NAME_RW25A,RW25A (Passenger Coach),RW25A (客车)
STR_NAME_CA25A,CA25A (Passenger Coach),CA25A (餐车)
STR_NAME_KD25A,KD25A (Passenger Coach),KD25A (客车)
STR_NAME_YZ25B,YZ25B (Passenger Coach),YZ25B (客车)
STR_NAME_RZ25B,RZ25B (Passenger Coach),RZ25B (客车)
STR_NAME_YW25B,YW25B (Passenger Coach),YW25B (客车)
STR_NAME_RW25B,RW25B (Passenger Coach),RW25B (客车)
STR_NAME_CA25B,CA25G (Restaurant Car),CA25B (餐车)
STR_NAME_YZ25B_AC,YZ25B (Passenger Coach) (Air-conditioned),YZ25B (客车) (加装空调)
STR_NAME_YW25B_AC,YW25B (Passenger Coach) (Air-conditioned),YW25B (客车) (加装空调)
STR_NAME_RW25B_AC,RW25B (Passenger Coach) (Air-conditioned),RW25B (客车) (加装空调)
STR_NAME_CA25B_AC,CA25B (Passenger Coach) (Air-conditioned),CA25B (客车) (加装空调)
STR_NAME_RZ25B_GZ,RZ25B (Passenger Coach) (Guangzhou Raiway Custom Version),RZ25B (客车) (广铁定制版)
STR_NAME_SYZ25BLD,SYZ25B (Passenger Coach) (Low-Door),SYZ25B (客车) (低开门)
STR_NAME_SRZ25BLD,SRZ25B (Passenger Coach) (Low-Door),SRZ25B (客车) (低开门)
STR_NAME_SYZ25BHD,SYZ25B (Passenger Coach) (High-Door),SYZ25B (客车) (高开门)
STR_NAME_SRZ25BHD,SRZ25B (Passenger Coach) (High-Door),SRZ25B (客车) (高开门)
STR_NAME_SYW25BHD,SYW25B (Passenger Coach) (High-Door),SYW25B (客车) (高开门)
STR_NAME_SRW25BHD,SRW25B (Passenger Coach) (High-Door),SRW25B (客车) (高开门)
STR_NAME_SCA25BHD,SCA25B (Restaurant Car) (High-Door),SCA25B (餐车) (高开门)
STR_NAME_RZ225C,RZ225C (Passenger Coach),RZ225C (客车)
STR_NAME_RZ125C,RZ125C (Passenger Coach),RZ125C (客车)
STR_NAME_CA25C,CA25C (Passenger Coach),CA25C (餐车)
STR_NAME_YZ25G,YZ25G (Passenger Coach),YZ25G (客车)
STR_NAME_RZ25G,RZ25G (Passenger Coach),RZ25G (客车)
STR_NAME_RZ225G,RZ225G (Passenger Coach),RZ225G (客车)
