name,id,num_id,long_name,long_name_fin,int_y,model_life,speed,cargo_allow,cargo_disallow,cc_allow,cc_disallow,capacity,Capacity (litres),loading_speed,cargo_age_period,weight,pur_cost,Est. buy cost,Purchase cost (real/est),"Running cost (real, est, â‚?km)",run_cost,Est. run. cost,Stats,Drawn,Coded,Total,Artist,Set of liveries,Paint scheme change,No. of refit graphics,Animated,Misc data,Source mat.,ADD_TEXT,STR_ADD_MANUFACTURER,STR_ADD_BOGIES,STR_ADD_UIC_AXLE_ORDER
Covered wagons,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
G,g,800,G (STR_PUR_COVERED_WAGON),G-yleisvaunu,1870,50,65,,WOOD,"CC_EXPRESS, CC_PIECE_GOODS, CC_REFRIGERATED, CC_HAZARDOUS, CC_COVERED",CC_OVERSIZED,12,,5,185,8,4,"$1,000 ","$25,000 ",0.05,2,$40.63 ,100.00%,100.00%,100.00%,100.00%,DanMacK,1,,,Yes,,vaunut.org,,,,2
Gb,gb,801,Gb (STR_PUR_COVERED_WAGON),Gb-yleisvaunu,1915,50,80,,WOOD,"CC_EXPRESS, CC_PIECE_GOODS, CC_HAZARDOUS, CC_COVERED","CC_REFRIGERATED, CC_OVERSIZED",17,,5,185,12,5,"$1,250 ","$35,000 ",0.05,2,$40.63 ,100.00%,100.00%,100.00%,100.00%,DanMacK,1,,4,Yes,"PAPR green, LVST slatted
",vaunut.org,,,,2
Gg,gg,802,Gg (STR_PUR_REFRIGERATED_WAGON),Gg-jaahdytysvaunu,1915,50,80,,WOOD,CC_REFRIGERATED,,10,,5,370,15,8,"$2,000 ","$50,000 ",0.1,4,$81.25 ,100.00%,100.00%,100.00%,100.00%,DanMacK,1,,,,,vaunut.org,,,,2
Gbk,gbk,803,Gbk (STR_PUR_COVERED_WAGON),Gbk-yleisvaunu,1965,30,100,,WOOD,"CC_EXPRESS, CC_PIECE_GOODS, CC_HAZARDOUS, CC_COVERED","CC_REFRIGERATED, CC_OVERSIZED",26,,5,185,14,8,"$2,000 ","$52,500 ",0.1,4,$81.25 ,100.00%,100.00%,100.00%,100.00%,DanMacK,2,,5,Yes,"PAPR green, others blackish",vaunut.org,,VR Psl Knp,,2
Gbl,gbl,804,Gbl (STR_PUR_COVERED_WAGON),Gbl-yleisvaunu,1970,30,100,,WOOD,"CC_EXPRESS, CC_PIECE_GOODS, CC_HAZARDOUS, CC_COVERED","CC_REFRIGERATED, CC_OVERSIZED",27,,5,185,13,9,"$2,250 ","$57,500 ",0.1,4,$81.25 ,100.00%,100.00%,100.00%,100.00%,DanMacK,1,,,,,vaunut.org,,VR Psl Knp,,2
Ggig,ggig,805,Ggig (STR_PUR_REFRIGERATED_WAGON),Ggig-jaahdytysvaunu,1965,30,100,,WOOD,CC_REFRIGERATED,,21,,5,555,19,10,"$2,500 ","$60,000 ",0.15,6,$121.88 ,100.00%,100.00%,100.00%,100.00%,DanMacK,1,,,,,vaunut.org,,VR Psl Knp,,2
Hbi,hbi,806,Hbi (STR_PUR_COVERED_LUMBER_WAGON),Hbi-sahatavaravaunu,1981,INF,100,"BDMT, ENSP, MNSP, PAPR, WDPR",WOOD,,,26,,5,231,14,10,"$2,500 ","$60,000 ",0.1,4,$81.25 ,100.00%,100.00%,100.00%,100.00%,DanMacK,1,,4,Yes,,vaunut.org,,VR Pm Knp,,2
Hbin,hbin,807,Hbin (STR_PUR_COVERED_LUMBER_WAGON),Hbin-sahatavaravaunu,1996,INF,100,"BDMT, ENSP, MNSP, PAPR, WDPR",WOOD,,,30,,5,231,15,10,"$2,500 ","$60,000 ",0.1,4,$81.25 ,100.00%,100.00%,100.00%,100.00%,DanMacK,1,,4,Yes,,vaunut.org,,VR Pm Knp,,2
Sim,sim,808,Sim (STR_PUR_SLIDING_ROOF_WAGON),Sim-siirtokatevaunu,1987,INF,120,,WOOD,"CC_EXPRESS, CC_PIECE_GOODS, CC_HAZARDOUS, CC_COVERED","CC_REFRIGERATED, CC_OVERSIZED",64,,5,185,26,19,"$4,750 ","$115,000 ",0.15,6,$121.88 ,100.00%,100.00%,100.00%,100.00%,DanMacK,1,,4,Yes,,vaunut.org,,VR Psl Knp,K16,2'2'
